State,Frequency
Kerala,74
Delhi,69
Karnataka,62
Andhra Pradesh,52
Gujarat,52
Haryana,35
Chhattisgarh,32
Jharkhand,27
Maharashtra,25
West Bengal,24
Bihar,22
Goa,22
Tamil Nadu,18
Uttarakhand,17
Assam,16
Mizoram,15
Punjab,15
Madhya Pradesh,13
Rajasthan,11
Sikkim,10
Nagaland,5
Odisha,4
Meghalaya,3
Manipur,1
Telangana,1
Tripura,1
