State,Frequency
Delhi,1138
Karnataka,503
Gujarat,281
Kerala,273
Rajasthan,197
West Bengal,149
Uttarakhand,105
Haryana,101
Bihar,78
Tamil Nadu,76
Andhra Pradesh,68
Goa,68
Meghalaya,64
Odisha,62
Maharashtra,55
Assam,47
Chhattisgarh,42
Punjab,39
Telangana,36
Jharkhand,31
Uttar Pradesh,17
Mizoram,10
Himachal Pradesh,10
Nagaland,8
Arunachal Pradesh,7
Madhya Pradesh,7
Manipur,5
Tripura,4
Sikkim,3
